cif,FundID,cust_rlv,fund_rlv
1000000034,02001,5,4
1000000034,FD029,5,4
1000000034,FD007,5,3
1000000034,PT029,5,4
1000000034,01033,5,5
1000000034,01034,5,5
1000000034,FD036,5,4
1000000034,FD028,5,4
1000000034,AL003,5,3
1000000034,01028,5,5
1000000034,03025,5,4
1000000034,03034,5,5
1000000034,FD030,5,4
1000000034,03013,5,4
1000000034,IV035,5,4
1000000034,PI153,5,3
1000000049,FD007,4,3
1000000059,SC066,4,4
1000000061,04018,5,5
1000000061,IV074,5,5
1000000063,02007,4,3
1000000063,06017,4,4
1000000083,AL003,4,3
1000000102,07026,4,4
1000000116,PT023,5,4
1000000116,02007,5,3
1000000116,01033,5,5
1000000116,02024,5,5
1000000123,02007,4,3
1000000158,02007,5,3
1000000158,03020,5,4
1000000176,AL004,4,3
1000000215,06022,5,4
1000000215,02002,5,5
1000000229,02007,5,3
1000000229,PT021,5,4
1000000229,06017,5,4
1000000229,LM042,5,4
1000000242,03028,5,5
1000000247,06025,5,5
1000000312,06029,5,5
1000000313,ET030,4,3
1000000328,PI153,5,3
1000000328,AL003,5,3
1000000328,AL024,5,4
1000000348,AL003,4,3
1000000357,FD056,5,5
1000000357,AL003,5,3
1000000357,03029,5,5
1000000361,AL003,5,3
1000000385,UB047,5,5
1000000385,03028,5,5
1000000385,FD035,5,4
1000000385,03029,5,5
1000000388,02007,4,3
1000000388,08014,4,3
1000000392,01017,4,4
1000000399,03028,5,5
1000000399,AL003,5,3
1000000400,FD006,4,3
1000000400,NN025,4,3
1000000403,AL003,5,3
1000000403,01012,5,4
1000000403,07026,5,4
1000000408,AL003,5,3
1000000416,03029,5,5
1000000416,AL003,5,3
1000000416,IN001,5,5
1000000419,03029,5,5
1000000419,03028,5,5
1000000435,AL003,3,3
1000000453,AL003,4,3
1000000457,02007,5,3
1000000457,03028,5,5
1000000457,NN025,5,3
1000000457,AL003,5,3
1000000465,AL003,5,3
1000000467,03034,5,5
1000000468,AL003,4,3
1000000468,IV035,4,4
1000000473,FD059,5,5
1000000508,AL003,5,3
1000000516,AL003,5,3
1000000533,AL003,5,3
1000000535,01018,5,4
1000000535,NN025,5,3
1000000535,AL003,5,3
1000000554,AL003,4,3
1000000572,ES038,5,4
1000000577,AL024,4,4
1000000600,PT049,5,5
1000000600,02012,5,5
1000000600,UB046,5,5
1000000617,AL003,5,3
1000000623,FD060,5,5
1000000631,02007,4,3
1000000637,NE006,4,3
1000000642,02007,3,3
1000000654,AB003,5,5
1000000654,06029,5,5
1000000669,AB021,5,4
1000000684,FD060,5,5
1000000684,SC120,5,5
1000000685,03033,5,5
1000000685,06028,5,5
1000000692,02007,3,3
1000000694,FC005,4,4
1000000723,FD067,5,5
1000000940,AL003,5,3
1000000940,NE002,5,3
1000000940,NE006,5,3
1000000940,AB013,5,5
1000000971,01001,4,1
1000001305,02007,4,3
1000001338,06028,5,5
1000001338,06025,5,5
1000001438,NE006,5,3
1000001438,NN025,5,3
1000001550,07025,5,4
1000001550,EU017,5,5
1000001683,02007,4,3
1000001976,09006,5,4
1000002443,IV035,4,4
1000002443,AL003,4,3
1000002796,AL002,4,3
1000002980,02007,3,3
1000003129,07044,5,5
1000003129,FD067,5,5
1000003131,SC083,5,4
1000003131,FD040,5,4
1000003131,NE007,5,3
1000003131,01032,5,5
1000003131,FD054,5,5
1000003131,IN001,5,5
1000003131,03015,5,4
1000003131,FD070,5,2
1000003131,FD058,5,5
1000003131,07034,5,5
1000003131,IV035,5,4
1000003131,FD035,5,4
1000003131,ET030,5,3
1000003131,FD048,5,4
1000003131,07026,5,4
1000003131,PT021,5,4
1000003131,UB047,5,5
1000003131,PT002,5,4
1000003131,FD075,5,3
1000003131,FD038,5,4
1000003131,07022,5,4
1000003245,FD028,4,4
1000003332,07043,5,5
1000003332,13003,5,4
1000003366,02007,4,3
1000003382,AL003,4,3
1000003391,AL003,3,3
1000003593,PI153,3,3
1000003916,SC105,5,5
1000003916,02007,5,3
1000003981,02007,4,3
1000003981,03007,4,3
1000004108,03010,3,3
1000004121,FC005,4,4
1000004454,AB019,5,5
1000004454,03028,5,5
1000004454,03013,5,4
1000004454,03026,5,4
1000004454,06025,5,5
1000004454,03017,5,4
1000004454,03030,5,5
1000004454,07041,5,5
1000004454,FD041,5,4
1000004454,NE018,5,5
1000004454,FD065,5,5
1000004454,PT031,5,4
1000004454,07042,5,5
1000004454,IN001,5,5
1000004498,05001,4,4
1000004626,AL003,4,3
1000004633,01021,4,4
1000004633,01007,4,3
1000004713,07041,5,5
1000004716,AL003,4,3
1000004724,FC005,4,4
1000004727,01021,4,4
1000004766,02007,3,3
1000004776,03015,4,4
1000004776,03029,4,5
1000004776,AL003,4,3
1000004831,01007,3,3
1000004855,02007,4,3
1000004868,AL019,5,4
1000004868,FD034,5,4
1000004868,FD049,5,4
1000004868,UB047,5,5
1000004868,NN042,5,4
1000004868,FD066,5,5
1000005005,13003,4,4
1000005066,02007,5,3
1000005111,FD040,4,4
1000005111,02007,4,3
1000005115,AL003,4,3
1000005427,03028,5,5
1000005653,FD049,4,4
1000005711,AL017,5,4
1000005778,AL003,5,3
1000005778,03026,5,4
1000005778,03020,5,4
1000005778,03029,5,5
1000005778,02010,5,5
1000005778,03015,5,4
1000005820,17006,5,5
1000005820,SC120,5,5
1000005820,06028,5,5
1000005865,AL003,4,3
1000005870,02007,3,3
1000006283,01007,3,3
1000006427,AL003,4,3
1000006567,NN025,4,3
1000006597,AL003,4,3
1000006779,AL007,3,3
1000006920,AL003,4,3
1000006963,02024,5,5
1000006963,01034,5,5
1000007033,AL003,5,3
1000007058,06025,5,5
1000007058,01010,5,3
1000007145,UB039,5,4
1000007145,AL003,5,3
1000007159,AL003,5,3
1000007198,NE002,3,3
1000007215,FC005,4,4
1000007268,FC005,5,4
1000007371,AL024,5,4
1000007371,AL003,5,3
1000007519,06017,5,4
1000007519,13008,5,4
1000007519,FD063,5,5
1000007519,03028,5,5
1000007882,03034,5,5
1000007882,08010,5,5
1000007882,02007,5,3
1000007882,06025,5,5
1000007882,01028,5,5
1000008139,03034,5,5
1000008139,06025,5,5
1000008139,AL004,5,3
1000008369,02007,4,3
1000008369,AL058,4,4
1000008461,07015,4,3
1000008634,AB025,4,3
1000008634,NN025,4,3
1000008701,AL003,4,3
1000008701,AL024,4,4
1000008790,01017,5,4
1000008829,02004,4,4
1000008829,NN025,4,3
1000008829,IV008,4,3
1000008833,JA019,4,3
1000008988,AL003,5,3
1000009112,AB025,3,3
1000009154,02007,4,3
1000009182,AL004,3,3
1000009182,AL007,3,3
1000009182,AL003,3,3
1000009574,07021,4,4
1000009987,FD067,5,5
1000009987,FD065,5,5
1000010003,04015,4,4
1000010092,UB047,5,5
1000010092,ES038,5,4
1000010121,UB047,5,5
1000010121,06017,5,4
1000010362,FD057,4,5
1000010362,03013,4,4
1000010362,02007,4,3
1000010392,02007,4,3
1000010533,FD009,5,3
1000010533,FD076,5,3
1000010533,FD060,5,5
1000010533,SC120,5,5
1000010632,NE006,4,3
1000010890,01010,3,3
1000010935,06025,5,5
1000011749,AL003,3,3
1000011749,PI153,3,3
1000011749,NN025,3,3
1000012128,04070,4,3
1000012376,06055,3,3
1000012422,AL003,5,3
1000012713,AL003,4,3
1000013038,AL003,3,3
1000013104,FC008,3,2
1000013318,AL003,3,3
1000013583,02027,5,3
1000013583,12020,5,3
1000013583,14005,5,4
1000013583,02016,5,4
1000013609,02023,4,4
1000013853,AL003,5,3
1000013895,AL003,3,3
1000013897,AL003,5,3
1000013961,06041,5,3
1000014246,JA004,4,3
1000014460,FD039,5,4
1000014749,02007,5,3
1000014791,07026,5,4
1000014791,08023,5,5
1000014791,FD007,5,3
1000014791,03021,5,4
1000014791,FD063,5,5
1000014791,07025,5,4
1000014856,FC005,5,4
1000015045,SC120,5,5
1000015197,NE008,5,3
1000015291,ES028,3,3
1000015291,ES003,3,2
1000015292,AL003,4,3
1000015359,01018,4,4
1000015375,03028,5,5
1000015375,03020,5,4
1000015375,07033,5,5
1000015375,03014,5,4
1000015375,07030,5,4
1000015375,07043,5,5
1000015375,03034,5,5
1000015375,06021,5,4
1000015375,03029,5,5
1000015375,02014,5,5
1000015402,02007,4,3
1000015561,02007,4,3
1000015561,NN021,4,2
1000015561,NN025,4,3
1000015632,02007,4,3
1000015771,AL024,4,4
1000015771,02007,4,3
1000015771,01057,4,4
1000015869,PI153,5,3
1000015869,AL003,5,3
1000015870,13008,4,4
1000015870,AL004,4,3
1000015870,13004,4,4
1000016027,03028,5,5
1000016185,IN022,5,3
1000016277,02007,3,3
1000016279,NN025,5,3
1000016372,FD058,5,5
1000016745,FC008,2,2
1000016811,FD003,5,3
1000016928,JA019,5,3
1000017141,FD063,5,5
1000017465,NE008,4,3
1000017510,AB003,5,5
1000017510,FD047,5,4
1000017510,FD021,5,4
1000017692,FD085,4,3
1000017692,FD017,4,4
1000017694,01009,5,3
1000018612,FD065,5,5
1000018920,AL003,4,3
1000019075,03028,5,5
1000019482,PI153,3,3
1000019578,NN025,5,3
1000019635,EU017,5,5
1000019747,06007,4,3
1000019757,FD008,4,3
1000019829,03028,5,5
1000020034,FD011,5,3
1000020047,12020,4,3
1000020091,FD058,5,5
1000020091,JH006,5,4
1000020091,IN011,5,4
1000020091,AL019,5,4
1000020091,AB011,5,5
1000020091,JH002,5,4
1000020091,AB032,5,3
